 0, 39
G, 8.666667, 0.076923, 0.076923, 1.500000, 1.615385
 3, 39
S, 0.250000, 0.000000, 13.000000, 2.000000, 19.000000
S, 4.666667, 0.071429, 0.071429, 2.285714, 2.357143
G, 4.666667, 0.071429, 0.071429, 2.285714, 2.500000
S, 8.333333, 0.000000, 0.040000, 2.160000, 2.280000
G, 5.666667, 0.000000, 0.058824, 1.176471, 1.352941
S, 6.666667, 0.200000, 0.050000, 2.550000, 2.650000
G, 8.666667, 0.153846, 0.423077, 1.346154, 1.807692
S, 7.333333, 0.000000, 0.045455, 2.318182, 2.409091
G, 7.000000, 0.000000, 0.095238, 1.285714, 1.428571
S, 0.666667, 0.000000, 3.500000, 13.000000, 16.500000
G, 1.000000, 0.000000, 2.333333, 18.333333, 20.666667
S, 3.666667, 0.090909, 0.545455, 4.636364, 5.272727
G, 2.000000, 0.166667, 3.666667, 3.000000, 9.833333
S, 7.333333, 0.090909, 0.045455, 2.636364, 2.727273
G, 7.000000, 0.095238, 0.095238, 1.047619, 1.238095
S, 7.666667, 0.130435, 0.043478, 2.260870, 2.391304
G, 7.000000, 0.142857, 0.095238, 1.476190, 1.619048
S, 8.333333, 0.000000, 0.040000, 2.280000, 2.400000
G, 7.666667, 0.000000, 0.086957, 1.217391, 1.347826
S, 9.000000, 0.037037, 0.074074, 2.148148, 2.259259
G, 7.333333, 0.045455, 0.090909, 1.318182, 1.681818
S, 7.666667, 0.086957, 0.043478, 2.695652, 2.826087
G, 7.666667, 0.086957, 0.086957, 1.260870, 1.347826
S, 10.333333, 0.000000, 0.064516, 2.161290, 2.290323
G, 6.333333, 0.000000, 0.105263, 1.263158, 1.421053
S, 8.666667, 0.038462, 0.076923, 2.115385, 2.269231
G, 7.666667, 0.043478, 0.173913, 1.260870, 1.478261
S, 8.000000, 0.125000, 0.041667, 2.666667, 2.750000
G, 7.333333, 0.136364, 0.136364, 1.181818, 1.363636
S, 7.333333, 0.000000, 0.045455, 2.090909, 2.181818
