 0, 39
S, 71.666667, 17.716279, 2.330233, 4.009302, 6.390698
G, 59.000000, 21.519774, 2.282486, 3.344633, 5.666667
S, 66.666667, 18.800000, 2.080000, 4.095000, 6.280000
G, 64.000000, 19.583333, 2.250000, 3.671875, 5.963542
S, 65.000000, 21.502564, 2.328205, 4.097436, 6.482051
G, 69.666667, 20.062201, 2.105263, 3.660287, 5.799043
S, 64.333333, 18.860104, 2.279793, 4.331606, 6.668394
G, 67.333333, 18.019802, 1.990099, 4.064356, 6.099010
S, 64.333333, 18.595855, 1.911917, 4.663212, 6.632124
G, 62.000000, 19.295699, 2.462366, 3.940860, 6.451613
S, 63.666667, 22.151832, 2.099476, 4.486911, 6.738220
G, 66.000000, 21.368687, 2.156566, 3.727273, 5.924242
S, 32.666667, 18.224490, 10.938776, 10.102041, 21.591837
G, 27.666667, 21.518072, 7.734940, 7.590361, 15.397590
S, 58.333333, 18.531429, 2.188571, 5.017143, 7.428571
G, 62.666667, 17.250000, 2.005319, 3.776596, 5.819149
S, 69.000000, 19.130435, 2.111111, 4.193237, 6.386473
G, 66.333333, 19.899497, 2.356784, 3.773869, 6.175879
S, 70.666667, 19.745283, 2.226415, 4.221698, 6.504717
G, 65.666667, 21.248731, 2.167513, 3.781726, 5.994924
S, 72.000000, 17.240741, 2.342593, 4.365741, 6.791667
G, 51.333333, 24.181818, 1.850649, 3.889610, 5.785714
S, 70.333333, 18.962085, 2.146919, 3.848341, 6.075829
G, 66.666667, 20.005000, 2.140000, 3.595000, 5.845000
S, 67.000000, 18.661692, 2.009950, 3.975124, 6.034826
G, 66.000000, 18.944444, 2.212121, 3.656566, 5.949495
S, 65.000000, 20.138462, 2.071795, 4.148718, 6.282051
G, 59.666667, 21.938547, 1.944134, 3.592179, 5.581006
 4, 41
S, 0.250000, 7.000000, 1.000000, 13.000000, 34.000000
S, 53.000000, 33.459119, 4.012579, 5.157233, 9.226415
G, 52.666667, 33.670886, 3.500000, 4.215190, 7.797468
S, 63.666667, 18.293194, 2.225131, 3.853403, 6.172775
G, 68.333333, 17.043902, 2.175610, 3.590244, 5.819512
S, 65.000000, 18.169231, 1.917949, 3.846154, 5.856410
G, 62.000000, 19.048387, 2.134409, 3.634409, 5.806452
S, 67.333333, 18.876238, 2.128713, 4.232673, 6.415842
G, 63.333333, 20.068421, 2.363158, 3.347368, 5.752632
S, 65.666667, 16.157360, 1.913706, 4.385787, 6.365482
G, 61.333333, 17.298913, 2.152174, 3.798913, 5.994565
S, 68.333333, 16.936585, 2.087805, 3.819512, 5.956098
G, 64.666667, 17.896907, 2.216495, 3.159794, 5.422680
S, 65.000000, 20.158974, 2.266667, 4.282051, 6.600000
G, 71.333333, 18.369159, 2.177570, 3.420561, 5.640187
S, 63.000000, 22.248677, 2.322751, 4.079365, 6.455026
G, 71.333333, 19.649533, 2.271028, 3.677570, 6.018692
S, 65.333333, 19.969388, 2.056122, 4.290816, 6.397959
G, 64.333333, 20.279793, 1.932642, 3.813472, 5.787565
S, 64.000000, 18.588542, 2.458333, 4.583333, 7.145833
G, 61.000000, 19.502732, 2.333333, 4.098361, 6.469945
S, 60.666667, 20.368132, 2.120879, 4.181319, 6.357143
G, 70.333333, 17.568720, 2.052133, 3.924171, 6.014218
S, 37.333333, 23.616071, 11.080357, 9.973214, 21.107143
G, 33.000000, 26.717172, 7.090909, 9.313131, 16.444444
S, 61.333333, 16.744565, 2.005435, 4.380435, 6.510870
G, 56.000000, 18.339286, 2.107143, 3.970238, 6.125000
S, 69.666667, 17.330144, 2.220096, 4.708134, 6.980861
